marker_id	chr	pos_bp	pos_cM
m01_000161	chr01	2193716	2.193716
m01_000162	chr01	2228783	2.228783
m01_000163	chr01	2235522	2.235522
m01_000164	chr01	2240893	2.240893
m01_000165	chr01	2280865	2.280865
m01_000166	chr01	2291525	2.291525
m01_000167	chr01	2324330	2.32433
m01_000168	chr01	2351959	2.351959
m01_000169	chr01	2352203	2.352203
m01_000170	chr01	2387877	2.387877
m01_000171	chr01	2442381	2.442381
m01_000172	chr01	2445528	2.445528
m01_000173	chr01	2460396	2.460396
m01_000174	chr01	2466012	2.466012
m01_000175	chr01	2514430	2.51443
m01_000176	chr01	2518777	2.518777
m01_000177	chr01	2519521	2.519521
m01_000178	chr01	2524974	2.524974
m01_000179	chr01	2556535	2.556535
m01_000180	chr01	2571948	2.571948
m01_000181	chr01	2578185	2.578185
m01_000182	chr01	2606316	2.606316
m01_000183	chr01	2622059	2.622059
m01_000184	chr01	2628571	2.628571
m01_000185	chr01	2628826	2.628826
m01_000186	chr01	2648161	2.648161
m01_000187	chr01	2653343	2.653343
m01_000188	chr01	2669976	2.669976
m01_000189	chr01	2675883	2.675883
m01_000190	chr01	2700327	2.700327
m01_000191	chr01	2715742	2.715742
m01_000192	chr01	2723358	2.723358
m01_000193	chr01	2730262	2.730262
m01_000194	chr01	2730353	2.730353
m01_000195	chr01	2736230	2.73623
m01_000196	chr01	2743760	2.74376
m01_000197	chr01	2744714	2.744714
m01_000198	chr01	2766949	2.766949
m01_000199	chr01	2782209	2.782209
m01_000200	chr01	2813206	2.813206
m01_000201	chr01	2834655	2.834655
m01_000202	chr01	2834731	2.834731
m01_000203	chr01	2844543	2.844543
m01_000204	chr01	2846324	2.846324
m01_000205	chr01	2856672	2.856672
m01_000206	chr01	2874828	2.874828
m01_000207	chr01	2882000	2.882
m01_000208	chr01	2895219	2.895219
m01_000209	chr01	2918206	2.918206
m01_000210	chr01	2920305	2.920305
m01_000211	chr01	2955420	2.95542
m01_000212	chr01	2958824	2.958824
m01_000213	chr01	2963499	2.963499
m01_000214	chr01	2975248	2.975248
m01_000215	chr01	2981385	2.981385
m01_000216	chr01	2994424	2.994424
m01_000217	chr01	2995006	2.995006
m01_000218	chr01	3004189	3.004189
m01_000219	chr01	3021004	3.021004
m01_000220	chr01	3028885	3.028885
m01_000221	chr01	3029330	3.02933
m01_000222	chr01	3040035	3.040035
m01_000223	chr01	3052886	3.052886
m01_000224	chr01	3053597	3.053597
m01_000225	chr01	3066349	3.066349
m01_000226	chr01	3070848	3.070848
m01_000227	chr01	3107861	3.107861
m01_000228	chr01	3113461	3.113461
m01_000229	chr01	3121111	3.121111
m01_000230	chr01	3130468	3.130468
m01_000231	chr01	3131634	3.131634
m01_000232	chr01	3165151	3.165151
m01_000233	chr01	3168173	3.168173
m01_000234	chr01	3172321	3.172321
m01_000235	chr01	3196657	3.196657
m01_000236	chr01	3229883	3.229883
m01_000237	chr01	3234914	3.234914
m01_000238	chr01	3250782	3.250782
m01_000239	chr01	3262150	3.26215
m01_000240	chr01	3263879	3.263879
m01_000241	chr01	3264903	3.264903
m01_000242	chr01	3288823	3.288823
m01_000243	chr01	3295228	3.295228
m01_000244	chr01	3300779	3.300779
m01_000245	chr01	3310443	3.310443
m01_000246	chr01	3311768	3.311768
m01_000247	chr01	3323059	3.323059
m01_000248	chr01	3327984	3.327984
m01_000249	chr01	3334200	3.3342
m01_000250	chr01	3334671	3.334671
m01_000251	chr01	3360458	3.360458
m01_000252	chr01	3376365	3.376365
m01_000253	chr01	3379840	3.37984
m01_000254	chr01	3384190	3.38419
m01_000255	chr01	3388804	3.388804
m01_000256	chr01	3410685	3.410685
m01_000257	chr01	3418705	3.418705
m01_000258	chr01	3425935	3.425935
m01_000259	chr01	3458799	3.458799
m01_000260	chr01	3466445	3.466445
m01_000261	chr01	3468659	3.468659
m01_000262	chr01	3476257	3.476257
m01_000263	chr01	3481134	3.481134
m01_000264	chr01	3484564	3.484564
m01_000265	chr01	3496452	3.496452
m01_000266	chr01	3496889	3.496889
m01_000267	chr01	3498882	3.498882
m01_000268	chr01	3502221	3.502221
m01_000269	chr01	3502847	3.502847
m01_000270	chr01	3519727	3.519727
m01_000271	chr01	3521509	3.521509
m01_000272	chr01	3522503	3.522503
m01_000273	chr01	3523612	3.523612
m01_000274	chr01	3531423	3.531423
m01_000275	chr01	3537748	3.537748
m01_000276	chr01	3541228	3.541228
m01_000277	chr01	3545458	3.545458
m01_000278	chr01	3553256	3.553256
m01_000279	chr01	3591386	3.591386
m01_000280	chr01	3598720	3.59872
m01_000281	chr01	3601734	3.601734
m01_000282	chr01	3610420	3.61042
m01_000283	chr01	3644441	3.644441
m01_000284	chr01	3644734	3.644734
m01_000285	chr01	3655512	3.655512
m01_000286	chr01	3666400	3.6664
m01_000287	chr01	3687169	3.687169
m01_000288	chr01	3721139	3.721139
m01_000289	chr01	3722065	3.722065
m01_000290	chr01	3744262	3.744262
m01_000291	chr01	3753351	3.753351
m01_000292	chr01	3769107	3.769107
m01_000293	chr01	3771851	3.771851
m01_000294	chr01	3779892	3.779892
m01_000295	chr01	3782914	3.782914
m01_000296	chr01	3801167	3.801167
m01_000297	chr01	3840353	3.840353
m01_000298	chr01	3851366	3.851366
m01_000299	chr01	3868554	3.868554
m01_000300	chr01	3873885	3.873885
m01_000301	chr01	3905793	3.905793
m01_000302	chr01	3921631	3.921631
m01_000303	chr01	3933353	3.933353
m01_000304	chr01	3939974	3.939974
m01_000305	chr01	3956555	3.956555
m01_000306	chr01	3958417	3.958417
m01_000307	chr01	3958983	3.958983
m01_000308	chr01	3978588	3.978588
m01_000309	chr01	4004136	4.004136
m01_000310	chr01	4019641	4.019641
m01_000311	chr01	4032035	4.032035
m01_000312	chr01	4072669	4.072669
m01_000313	chr01	4073754	4.073754
m01_000314	chr01	4074845	4.074845
m01_000315	chr01	4115692	4.115692
m01_000316	chr01	4118347	4.118347
m01_000317	chr01	4121906	4.121906
m01_000318	chr01	4143560	4.14356
m01_000319	chr01	4144991	4.144991
m01_000320	chr01	4149873	4.149873
m01_000321	chr01	4156256	4.156256
m01_000322	chr01	4166969	4.166969
m01_000323	chr01	4172652	4.172652
m01_000324	chr01	4181229	4.181229
m01_000325	chr01	4228116	4.228116
m01_000326	chr01	4245375	4.245375
m01_000327	chr01	4245524	4.245524
m01_000328	chr01	4249388	4.249388
m01_000329	chr01	4257556	4.257556
m01_000330	chr01	4259586	4.259586
m01_000331	chr01	4259630	4.25963
m01_000332	chr01	4265121	4.265121
m01_000333	chr01	4267135	4.267135
m01_000334	chr01	4275144	4.275144
m01_000335	chr01	4286301	4.286301
m01_000336	chr01	4287653	4.287653
m01_000337	chr01	4288750	4.28875
m01_000338	chr01	4292078	4.292078
m01_000339	chr01	4297412	4.297412
m01_000340	chr01	4306533	4.306533
m01_000341	chr01	4324877	4.324877
m01_000342	chr01	4325694	4.325694
m01_000343	chr01	4368831	4.368831
m01_000344	chr01	4382474	4.382474
m01_000345	chr01	4387259	4.387259
m01_000346	chr01	4396543	4.396543
m01_000347	chr01	4402304	4.402304
m01_000348	chr01	4407952	4.407952
m01_000349	chr01	4409582	4.409582
m01_000350	chr01	4416915	4.416915
m01_000351	chr01	4420306	4.420306
m01_000352	chr01	4444818	4.444818
m01_000353	chr01	4482584	4.482584
m01_000354	chr01	4497581	4.497581
m01_000355	chr01	4502074	4.502074
m01_000356	chr01	4507599	4.507599
m01_000357	chr01	4520369	4.520369
m01_000358	chr01	4538416	4.538416
m01_000359	chr01	4548539	4.548539
m01_000360	chr01	4550962	4.550962
m01_000361	chr01	4565966	4.565966
m01_000362	chr01	4572847	4.572847
m01_000363	chr01	4591220	4.59122
m01_000364	chr01	4591357	4.591357
m01_000365	chr01	4600390	4.60039
m01_000366	chr01	4607053	4.607053
m01_000367	chr01	4610001	4.610001
m01_000368	chr01	4611008	4.611008
m01_000369	chr01	4620389	4.620389
m01_000370	chr01	4621669	4.621669
m01_000371	chr01	4633984	4.633984
m01_000372	chr01	4662142	4.662142
m01_000373	chr01	4677691	4.677691
m01_000374	chr01	4679777	4.679777
m01_000375	chr01	4690015	4.690015
m01_000376	chr01	4703352	4.703352
m01_000377	chr01	4739718	4.739718
m01_000378	chr01	4743403	4.743403
m01_000379	chr01	4760352	4.760352
m01_000380	chr01	4762417	4.762417
m01_000381	chr01	4768424	4.768424
m01_000382	chr01	4771105	4.771105
m01_000383	chr01	4776398	4.776398
m01_000384	chr01	4791417	4.791417
m01_000385	chr01	4802759	4.802759
m01_000386	chr01	4805683	4.805683
m01_000387	chr01	4827254	4.827254
m01_000388	chr01	4828868	4.828868
m01_000389	chr01	4833270	4.83327
m01_000390	chr01	4849391	4.849391
m01_000391	chr01	4873352	4.873352
m01_000392	chr01	4892838	4.892838
m01_000393	chr01	4897405	4.897405
m01_000394	chr01	4910868	4.910868
m01_000395	chr01	4913198	4.913198
m01_000396	chr01	4938734	4.938734
m01_000397	chr01	4992248	4.992248
m01_000398	chr01	4994771	4.994771
m01_000399	chr01	4998362	4.998362
m01_000400	chr01	4999057	4.999057
m01_000401	chr01	5015058	5.015058
m01_000402	chr01	5017835	5.017835
m01_000403	chr01	5038798	5.038798
m01_000404	chr01	5063229	5.063229
m01_000405	chr01	5063726	5.063726
m01_000406	chr01	5075914	5.075914
m01_000407	chr01	5078402	5.078402
m01_000408	chr01	5101991	5.101991
m01_000409	chr01	5109090	5.10909
m01_000410	chr01	5112846	5.112846
m01_000411	chr01	5116159	5.116159
m01_000412	chr01	5153270	5.15327
m01_000413	chr01	5166277	5.166277
m01_000414	chr01	5171624	5.171624
m01_000415	chr01	5179214	5.179214
m01_000416	chr01	5183190	5.18319
m01_000417	chr01	5202796	5.202796
m01_000418	chr01	5204556	5.204556
m01_000419	chr01	5206854	5.206854
m01_000420	chr01	5223348	5.223348
m01_000421	chr01	5225267	5.225267
m01_000422	chr01	5234279	5.234279
m01_000423	chr01	5246208	5.246208
m01_000424	chr01	5269976	5.269976
m01_000425	chr01	5279400	5.2794
m01_000426	chr01	5321516	5.321516
m01_000427	chr01	5334745	5.334745
m01_000428	chr01	5334938	5.334938
m01_000429	chr01	5351138	5.351138
m01_000430	chr01	5354948	5.354948
m01_000431	chr01	5361294	5.361294
m01_000432	chr01	5362278	5.362278
m01_000433	chr01	5368171	5.368171
m01_000434	chr01	5385923	5.385923
m01_000435	chr01	5397166	5.397166
m01_000436	chr01	5399511	5.399511
m01_000437	chr01	5406883	5.406883
m01_000438	chr01	5420654	5.420654
m01_000439	chr01	5425054	5.425054
m01_000440	chr01	5426066	5.426066
m01_000441	chr01	5432794	5.432794
m01_000442	chr01	5439239	5.439239
m01_000443	chr01	5463538	5.463538
m01_000444	chr01	5482609	5.482609
m01_000445	chr01	5494494	5.494494
m01_000446	chr01	5497212	5.497212
m01_000447	chr01	5508639	5.508639
m01_000448	chr01	5513359	5.513359
m01_000449	chr01	5520219	5.520219
m01_000450	chr01	5523157	5.523157
m01_000451	chr01	5534849	5.534849
m01_000452	chr01	5568953	5.568953
m01_000453	chr01	5571036	5.571036
m01_000454	chr01	5575806	5.575806
m01_000455	chr01	5583470	5.58347
m01_000456	chr01	5585225	5.585225
m01_000457	chr01	5587974	5.587974
m01_000458	chr01	5592547	5.592547
m01_000459	chr01	5607638	5.607638
m01_000460	chr01	5608306	5.608306
m01_000461	chr01	5623705	5.623705
m01_000462	chr01	5625974	5.625974
m01_000463	chr01	5632045	5.632045
m01_000464	chr01	5640409	5.640409
m01_000465	chr01	5645509	5.645509
m01_000466	chr01	5653876	5.653876
m01_000467	chr01	5656546	5.656546
m01_000468	chr01	5660737	5.660737
m01_000469	chr01	5661036	5.661036
m01_000470	chr01	5669348	5.669348
m01_000471	chr01	5675060	5.67506
m01_000472	chr01	5687996	5.687996
m01_000473	chr01	5700868	5.700868
m01_000474	chr01	5728947	5.728947
m01_000475	chr01	5731817	5.731817
m01_000476	chr01	5746082	5.746082
m01_000477	chr01	5762854	5.762854
m01_000478	chr01	5769139	5.769139
m01_000479	chr01	5785502	5.785502
m01_000480	chr01	5787898	5.787898
m01_000481	chr01	5789442	5.789442
m01_000482	chr01	5798198	5.798198
m01_000483	chr01	5807502	5.807502
m01_000484	chr01	5814280	5.81428
m01_000485	chr01	5817568	5.817568
m01_000486	chr01	5817741	5.817741
m01_000487	chr01	5847601	5.847601
m01_000488	chr01	5850009	5.850009
m01_000489	chr01	5869536	5.869536
m01_000490	chr01	5873369	5.873369
m01_000491	chr01	5874473	5.874473
m01_000492	chr01	5874525	5.874525
m01_000493	chr01	5893317	5.893317
m01_000494	chr01	5898375	5.898375
m01_000495	chr01	5900701	5.900701
m01_000496	chr01	5915132	5.915132
m01_000497	chr01	5915943	5.915943
m01_000498	chr01	5925053	5.925053
m01_000499	chr01	5929844	5.929844
m01_000500	chr01	5934205	5.934205
m01_000501	chr01	5952816	5.952816
m01_000502	chr01	5985779	5.985779
m01_000503	chr01	6013641	6.013641
m01_000504	chr01	6021051	6.021051
m01_000505	chr01	6058933	6.058933
m01_000506	chr01	6072253	6.072253
m01_000507	chr01	6075190	6.07519
m01_000508	chr01	6079535	6.079535
m01_000509	chr01	6122431	6.122431
m01_000510	chr01	6151577	6.151577
m01_000511	chr01	6160146	6.160146
m01_000512	chr01	6162336	6.162336
m01_000513	chr01	6168188	6.168188
m01_000514	chr01	6182556	6.182556
m01_000515	chr01	6188170	6.18817
m01_000516	chr01	6216765	6.216765
m01_000517	chr01	6248358	6.248358
m01_000518	chr01	6254650	6.25465
m01_000519	chr01	6254741	6.254741
m01_000520	chr01	6257924	6.257924
m01_000521	chr01	6271712	6.271712
m01_000522	chr01	6291496	6.291496
m01_000523	chr01	6309407	6.309407
m01_000524	chr01	6312692	6.312692
m01_000525	chr01	6314718	6.314718
m01_000526	chr01	6336427	6.336427
m01_000527	chr01	6352396	6.352396
m01_000528	chr01	6357573	6.357573
m01_000529	chr01	6385920	6.38592
m01_000530	chr01	6389728	6.389728
m01_000531	chr01	6402195	6.402195
m01_000532	chr01	6416671	6.416671
m01_000533	chr01	6432450	6.43245
m01_000534	chr01	6469631	6.469631
m01_000535	chr01	6472825	6.472825
m01_000536	chr01	6479364	6.479364
m01_000537	chr01	6486837	6.486837
m01_000538	chr01	6495367	6.495367
m01_000539	chr01	6582750	6.58275
m01_000540	chr01	6592577	6.592577
m01_000541	chr01	6602818	6.602818
m01_000542	chr01	6622546	6.622546
m01_000543	chr01	6629370	6.62937
m01_000544	chr01	6655744	6.655744
m01_000545	chr01	6668219	6.668219
m01_000546	chr01	6690250	6.69025
m01_000547	chr01	6726821	6.726821
m01_000548	chr01	6767040	6.76704
m01_000549	chr01	6782531	6.782531
m01_000550	chr01	6793869	6.793869
m01_000551	chr01	6814020	6.81402
m01_000552	chr01	6831531	6.831531
m01_000553	chr01	6841049	6.841049
m01_000554	chr01	6848185	6.848185
m01_000555	chr01	6856572	6.856572
m01_000556	chr01	6873042	6.873042
m01_000557	chr01	6875575	6.875575
m01_000558	chr01	6886716	6.886716
m01_000559	chr01	6924924	6.924924
m01_000560	chr01	6939184	6.939184
m01_000561	chr01	6947469	6.947469
m01_000562	chr01	6951149	6.951149
m01_000563	chr01	6957202	6.957202
m01_000564	chr01	6964073	6.964073
m01_000565	chr01	6965414	6.965414
m01_000566	chr01	7005370	7.00537
m01_000567	chr01	7030029	7.030029
m01_000568	chr01	7040897	7.040897
m01_000569	chr01	7052016	7.052016
m01_000570	chr01	7081648	7.081648
m01_000571	chr01	7082346	7.082346
m01_000572	chr01	7083188	7.083188
m01_000573	chr01	7085335	7.085335
m01_000574	chr01	7111682	7.111682
m01_000575	chr01	7114664	7.114664
m01_000576	chr01	7123359	7.123359
m01_000577	chr01	7149375	7.149375
m01_000578	chr01	7160069	7.160069
m01_000579	chr01	7200852	7.200852
m01_000580	chr01	7204858	7.204858
m01_000581	chr01	7214363	7.214363
m01_000582	chr01	7220013	7.220013
m01_000583	chr01	7238872	7.238872
m01_000584	chr01	7243749	7.243749
m01_000585	chr01	7245204	7.245204
m01_000586	chr01	7246826	7.246826
m01_000587	chr01	7247040	7.24704
m01_000588	chr01	7267000	7.267
m01_000589	chr01	7282832	7.282832
m01_000590	chr01	7287479	7.287479
m01_000591	chr01	7295126	7.295126
m01_000592	chr01	7305528	7.305528
m01_000593	chr01	7328795	7.328795
m01_000594	chr01	7331663	7.331663
m01_000595	chr01	7360306	7.360306
m01_000596	chr01	7361531	7.361531
m01_000597	chr01	7366602	7.366602
m01_000598	chr01	7381790	7.38179
m01_000599	chr01	7403209	7.403209
m01_000600	chr01	7404977	7.404977
m01_000601	chr01	7410498	7.410498
m01_000602	chr01	7411462	7.411462
m01_000603	chr01	7415708	7.415708
m01_000604	chr01	7424729	7.424729
m01_000605	chr01	7435712	7.435712
m01_000606	chr01	7447184	7.447184
m01_000607	chr01	7456821	7.456821
m01_000608	chr01	7462724	7.462724
m01_000609	chr01	7464365	7.464365
m01_000610	chr01	7467261	7.467261
m01_000611	chr01	7471111	7.471111
m01_000612	chr01	7474994	7.474994
m01_000613	chr01	7492657	7.492657
m01_000614	chr01	7504450	7.50445
m01_000615	chr01	7510983	7.510983
m01_000616	chr01	7523565	7.523565
m01_000617	chr01	7524289	7.524289
m01_000618	chr01	7527260	7.52726
m01_000619	chr01	7531973	7.531973
m01_000620	chr01	7554619	7.554619
m01_000621	chr01	7561769	7.561769
m01_000622	chr01	7564164	7.564164
m01_000623	chr01	7579762	7.579762
m01_000624	chr01	7580548	7.580548
m01_000625	chr01	7582185	7.582185
m01_000626	chr01	7598844	7.598844
m01_000627	chr01	7606358	7.606358
m01_000628	chr01	7611450	7.61145
m01_000629	chr01	7614773	7.614773
m01_000630	chr01	7633505	7.633505
m01_000631	chr01	7639682	7.639682
m01_000632	chr01	7639744	7.639744
m01_000633	chr01	7642925	7.642925
m01_000634	chr01	7649133	7.649133
m01_000635	chr01	7679508	7.679508
m01_000636	chr01	7682109	7.682109
m01_000637	chr01	7701721	7.701721
m01_000638	chr01	7725322	7.725322
m01_000639	chr01	7740299	7.740299
m01_000640	chr01	7751021	7.751021
m01_000641	chr01	7755600	7.7556
m01_000642	chr01	7768559	7.768559
m01_000643	chr01	7776721	7.776721
m01_000644	chr01	7804954	7.804954
m01_000645	chr01	7806185	7.806185
m01_000646	chr01	7830541	7.830541
m01_000647	chr01	7841911	7.841911
m01_000648	chr01	7845991	7.845991
m01_000649	chr01	7855369	7.855369
m01_000650	chr01	7860675	7.860675
m01_000651	chr01	7864032	7.864032
m01_000652	chr01	7870537	7.870537
m01_000653	chr01	7875339	7.875339
m01_000654	chr01	7875732	7.875732
m01_000655	chr01	7878039	7.878039
m01_000656	chr01	7889568	7.889568
m01_000657	chr01	7891952	7.891952
m01_000658	chr01	7910679	7.910679
m01_000659	chr01	7922913	7.922913
m01_000660	chr01	7930859	7.930859
m01_000661	chr01	7949287	7.949287
m01_000662	chr01	7968808	7.968808
m01_000663	chr01	7975968	7.975968
m01_000664	chr01	7978524	7.978524
m01_000665	chr01	7980879	7.980879
m01_000666	chr01	7981042	7.981042
m01_000667	chr01	8009328	8.009328
m01_000668	chr01	8019513	8.019513
m01_000669	chr01	8020614	8.020614
m01_000670	chr01	8053057	8.053057
m01_000671	chr01	8057864	8.057864
m01_000672	chr01	8070862	8.070862
m01_000673	chr01	8075258	8.075258
m01_000674	chr01	8095004	8.095004
m01_000675	chr01	8118012	8.118012
m01_000676	chr01	8132527	8.132527
m01_000677	chr01	8142814	8.142814
m01_000678	chr01	8149434	8.149434
m01_000679	chr01	8161176	8.161176
m01_000680	chr01	8183037	8.183037
m01_000681	chr01	8214162	8.214162
m01_000682	chr01	8216547	8.216547
m01_000683	chr01	8217159	8.217159
m01_000684	chr01	8228366	8.228366
m01_000685	chr01	8234754	8.234754
m01_000686	chr01	8254865	8.254865
m01_000687	chr01	8257796	8.257796
m01_000688	chr01	8258672	8.258672
m01_000689	chr01	8276778	8.276778
m01_000690	chr01	8281924	8.281924
m01_000691	chr01	8286468	8.286468
m01_000692	chr01	8291699	8.291699
m01_000693	chr01	8297093	8.297093
m01_000694	chr01	8301513	8.301513
m01_000695	chr01	8301823	8.301823
m01_000696	chr01	8302858	8.302858
m01_000697	chr01	8336654	8.336654
m01_000698	chr01	8343011	8.343011
m01_000699	chr01	8344469	8.344469
m01_000700	chr01	8346721	8.346721
m01_000701	chr01	8351145	8.351145
m01_000702	chr01	8373318	8.373318
m01_000703	chr01	8394396	8.394396
m01_000704	chr01	8397601	8.397601
m01_000705	chr01	8405073	8.405073
m01_000706	chr01	8408364	8.408364
m01_000707	chr01	8413069	8.413069
m01_000708	chr01	8423682	8.423682
m01_000709	chr01	8424380	8.42438
m01_000710	chr01	8431719	8.431719
m01_000711	chr01	8432390	8.43239
m01_000712	chr01	8438069	8.438069
m01_000713	chr01	8492848	8.492848
m01_000714	chr01	8503617	8.503617
m01_000715	chr01	8505044	8.505044
m01_000716	chr01	8505421	8.505421
m01_000717	chr01	8520050	8.52005
m01_000718	chr01	8538494	8.538494
m01_000719	chr01	8539862	8.539862
m01_000720	chr01	8549584	8.549584
m01_000721	chr01	8554661	8.554661
m01_000722	chr01	8567077	8.567077
m01_000723	chr01	8583593	8.583593
m01_000724	chr01	8591402	8.591402
m01_000725	chr01	8618687	8.618687
m01_000726	chr01	8633207	8.633207
m01_000727	chr01	8647968	8.647968
m01_000728	chr01	8650885	8.650885
m01_000729	chr01	8661585	8.661585
m01_000730	chr01	8661634	8.661634
m01_000731	chr01	8672160	8.67216
m01_000732	chr01	8682695	8.682695
m01_000733	chr01	8688902	8.688902
m01_000734	chr01	8706724	8.706724
m01_000735	chr01	8709345	8.709345
m01_000736	chr01	8711368	8.711368
m01_000737	chr01	8719587	8.719587
m01_000738	chr01	8727640	8.72764
